No    	l (deg)	b(deg)	RA (h)		DEC(deg)	Name  		RA(h)  	 	DEC(deg)  	d(pc)
25	264.465	-8.597	08 10 09	-49 12.9	NGC2547		08 10 09	-49 12 54 	455
26	233.705	+11.112	08 10 37	-12 49.1	NGC2539		08 10 37	-12 49 06	1363
27	254.855	-1.986	08 12 15	-37 35.7	NGC2546		08 12 15	-37 35 42 	919
28	227.872	+15.393	08 13 43	-05 45.0	NGC2548		08 13 43	-05 45 00 	769
29	249.795	+2.961	08 18 32	-30 38.4	NGC2567		08 18 32	-30 38 24	1677
30	254.674	+0.213	08 20 52	-36 13.0	NGC2579		08 20 52	-36 13 00	1033
31	267.485	-3.625	08 45 30	-48 48.0	NGC2670		08 45 30	-48 48 00	1188
32	270.835	-6.092	08 46 22	-52 56.9	NGC2669		08 46 22	-52 56 54	1046
33	262.791	+0.674	08 47 54	-42 27.0	Trumpler10	08 47 54	-42 27 00 	424
34	215.696	+31.896	08 51 18	+11 48.0	NGC2682		08 51 18	+11 48 00 	908
35	269.209	-1.843	09 00 32	-48 59.0	Collinder205	09 00 32	-48 59 00	1853
36	277.830	-4.419	09 27 38	-57 00.0	IC2488		09 27 38	-57 00 00	1134
37	275.936	-1.254	09 33 11	-53 23.9	NGC2925		09 33 11	-53 23 54 	774
38	286.764	+16.918	11 25 38	-43 14.6	NGC3680		11 25 38	-43 14 36 	938
39	299.971	+1.965	12 27 10	-60 46.0	Collinder258	12 27 10	-60 46 00	1184
40	309.161	-0.714	13 46 35	-62 55.0	NGC5281		13 46 35	-62 55 00	1108
41	310.229	+0.115	13 53 57	-61 52.1	NGC5316		13 53 57	-61 52 06	1215
42	310.849	-0.337	14 00 02	-62 09.0	Lynga1		14 00 02	-62 09 00	2283
43	315.746	+12.628	14 07 27	-48 20.6	NGC5460		14 07 27	-48 20 36 	678
44	313.864	-0.454	14 24 35	-61 20.0	Lynga2		14 24 35	-61 20 00	1000
45	314.670	-0.100	14 29 44	-60 42.7	NGC5617		14 29 44	-60 42 42	1533
46	316.937	+3.394	14 35 37	-56 37.1	NGC5662		14 35 37	-56 37 06 	666
47	321.573	+3.593	15 04 21	-54 23.8	NGC5822		15 04 21	-54 23 48 	917
48	321.125	+2.460	15 05 30	-55 36.2	NGC5823		15 05 30	-55 36 12	1192
49	324.551	-5.884	16 03 17	-60 25.9	NGC6025		16 03 17	-60 25 54 	756
50	329.281	-1.498	16 07 35	-54 00.9	NGC6031		16 07 35	-54 00 54	1823
51	329.745	-2.205	16 13 11	-54 13.1	NGC6067		16 13 11	-54 13 06	1417
52	329.836	-3.284	16 18 48	-54 56.0	Harvard10	16 18 48	-54 56 00	1312
53	340.741	+6.016	16 25 20	-40 39.2	NGC6124		16 25 20	-40 39 12 	512
54	334.917	-0.198	16 27 46	-49 09.1	NGC6134		16 27 46	-49 09 06 	913
55	333.276	-1.879	16 28 15	-51 30.0	Ruprecht119	16 28 15	-51 30 00 	956
56	335.222	-1.427	16 34 34	-49 46.3	NGC6167		16 34 34	-49 46 18	1108
57	340.683	-1.920	16 57 56	-45 56.2	NGC6250		16 57 56	-45 56 12 	865
58	347.731	+1.972	17 04 41	-37 59.1	NGC6281		17 04 41	-37 59 06 	479
59	340.088	-7.907	17 24 49	-49 56.0	IC4651		17 24 49	-49 56 00 	888
60	356.580	-0.777	17 40 20	-32 15.2	NGC6405		17 40 20	-32 15 12 	487
61	356.932	-1.549	17 44 19	-32 21.7	NGC6416		17 44 19	-32 21 42 	741
62	012.860	-1.306	18 18 26	-18 24.4	NGC6603		18 18 26	-18 24 24	3600
63	036.381	+5.242	18 39 00	+05 27.0	IC4756		18 39 00	+05 27 00 	484
64	027.307	-2.776	18 51 05	-06 16.2	NGC6705		18 51 05	-06 16 12	1877
65	079.210	+12.015	19 37 17	+46 23.3	NGC6811		19 37 17	+46 23 18	1215
66	079.560	+6.839	20 03 55	+44 09.5	NGC6866		20 03 55	+44 09 30	1450
67	065.528	-4.062	20 11 58	+26 29.0	NGC6885		20 11 58	+26 29 00 	597
68	076.667	+1.273	20 20 24	+38 42.0	Berkeley86	20 20 24	+38 42 00	1112
69	092.561	-1.646	21 30 02	+48 58.6	Platais1	21 30 02	+48 58 36	1268
70	095.496	-7.339	22 05 07	+46 29.0	NGC7209		22 05 07	+46 29 00	1168
71	112.819	+0.434	23 24 48	+61 35.6	NGC7654		23 24 48	+61 35 36	1421
