Id 	$\ell$ 	b   ${V}_{{\rm h}}$ err $V_{\rm LSR}$ Notes
38 	201.0 	-4.1 	+64 	13 	52.3 	CGCS 6122
39 	202.5 	-4.7 	+43 	7 	31.2 	     
40 	202.8 	-4.7 	+36 	13 	24.2 	CGCS 1214
41 	200.1 	-3.2 	+28 	9 	16.4 	V1026 Ori
42 	200.5 	-3.0 	+96 	3 	84.4 	CGCS 6129
43 	201.9 	-3.4 	- 	- 	- 	not a C star
44 	203.2 	-3.9 	+34 	5 	22.3 	CGCS 1233
45 	204.6 	-4.6 	+27 	9 	15.2 	CGCS 1236
46 	187.2 	+4.8 	+47 	8 	37.1 	     
47 	204.2 	-4.1 	+49 	10 	37.2 	CGCS 1238
48 	203.8 	-3.6 	+66 	9 	54.3 	V615 Mon
49 	204.0 	-3.1 	+71 	7 	59.4 	CGCS 6143
50 	207.0 	-3.1 	- 	- 	- 	not observed
51 	196.8 	+3.4 	+38 	9 	27.4 	LV Gem
52 	195.2 	+4.5 	+76 	11 	65.6 	CGCS 1311
53 	198.3 	+3.6 	- 	- 	- 	not observed
54 	204.8 	+4.6 	+87 	6 	76.3 	CGCS 6186
55 	208.1 	+3.0 	+77 	9 	66.1 	CGCS 1449
56 	206.8 	+3.7 	101 	13 	90.2 	IRAS06508+0714
57 	204.9 	+4.8 	+83 	10 	72.4 	CGCS 1457
58 	205.2 	+4.7 	+99 	11 	88.3 	IT Mon
59 	207.9 	+4.1 	- 	- 	- 	not observed
60 	208.7 	+3.8 	+92 	11 	81.2 	CGCS 1484
61 	209.4 	+4.4 	- 	- 	- 	not observed
62 	213.1 	+4.4 	- 	- 	- 	not observed
63 	215.1 	+4.6 	- 	- 	- 	not observed
64 	61.8 	+4.8 	- 	- 	- 	not a C star
65 	62.1 	+4.2 	-63 	11 	-53.2 	CGCS 6799
66 	62.4 	+4.3 	-107 	10 	-97.2 	CGCS 6801
67 	49.1 	-3.4 	- 	- 	- 	not a C star
68 	63.4 	+4.1 	-145 	6 	-135.3 	     
69 	64.9 	+4.8 	-76 	6 	-66.4 	CGCS 4366
70 	65.5 	+4.8 	- 	- 	- 	not a C star
71 	64.0 	+3.7 	- 	- 	- 	not a C star
72 	64.5 	+3.9 	- 	- 	- 	not a C star
73 	52.4 	-3.8 	- 	- 	- 	not a C star
74 	51.2 	-4.6 	- 	- 	- 	not a C star
75 	66.8 	+4.1 	- 	- 	- 	not a C star
76 	66.8 	+4.1 	-58 	9 	-48.7 	CGCS 4441
77 	55.1 	-3.6 	- 	- 	- 	not observed
78 	68.5 	+4.5 	-82 	8 	-72.9 	CGCS 4466
79 	68.7 	+4.2 	-128 	10 	-119.0 	CGCS 4481
80 	56.2 	-3.5 	- 	- 	- 	not a C star
81 	58.4 	-3.7 	- 	- 	- 	not a C star
82 	71.9 	+3.9 	-70 	11 	-61.4 	     
83 	72.8 	+4.0 	- 	- 	- 	not a C star
84 	72.7 	+3.9 	- 	- 	- 	not a C star
85 	76.6 	+4.4 	-76 	5 	-68.0 	     
86 	79.1 	+3.1 	- 	- 	- 	not a C star
87 	79.1 	+3.1 	- 	- 	- 	not a C star
88 	77.9 	-4.7 	-72 	11 	-65.4 	CGCS 4980
89 	79.1 	-4.9 	-65 	17 	-58.6 	V1876 Cyg
90 	89.7 	-.49 	- 	- 	- 	not a C star
91 	92.3 	-4.7 	-93 	6 	-88.8 	V1732 Cyg
92 	94.6 	-4.9 	-77 	8 	-73.2 	V1428 Cyg
93 	96.5 	-3.8 	-80 	6 	-76.4 	V1342 Cyg
94 	96.5 	-4.1 	-66 	2 	-62.4 	V1410 Cyg
95 	97.7 	-3.5 	- 	- 	- 	not a C star
96 	97.3 	-4.6 	-55 	5 	-51.7 	     
97 	98.4 	-4.5 	-74 	4 	-70.8 	PU Lac
98 	99.4 	-3.1 	-36 	6 	-32.8 	CGCS 5592
99 	99.2 	-3.6 	-82 	6 	-78.9 	IW Lac
100 	100.2 	-3.3 	- 	- 	- 	PX Lac not a C star
101 	100.3 	-4.4 	- 	- 	- 	LL Lac not a C star
102 	105.8 	-3.8 	-56 	13 	-54.0 	     
103 	114.6 	-4.7 	- 	- 	- 	V1000 Cas not a C star
