Id 	RA J2000 Dec 			Ks 	(J-Ks) 	(H-Ks) 	E(B-V) 	I   $d_{\odot}$	dGC 	z
19 	4  37  17.1     40  46  58.8 	6.35 	2.10 	0.72 	0.59 	10.76 	7.0 	14.4 	-0.52
20 	4  39  35.3     41  37  11.3 	3.04 	1.96 	0.75 	0.52 	7.23 	1.5 	9.0 	-0.09
21 	4  40  38.4     41  29  52.4 	5.41 	2.12 	0.77 	0.61 	9.85 	4.5 	12.0 	-0.26
22 	5  10  27.7     33  59  38.3 	3.90 	1.91 	0.77 	0.58 	8.11 	2.1 	9.7 	-0.12
23 	5  11  38.2     46  17 04.3 	4.80 	1.93 	0.66 	0.62 	9.07 	3.1 	10.6 	0.22
24 	5  23 00.2     29  24  16.8 	6.11 	1.77 	0.58 	0.54 	10.14 	5.5 	13.1 	-0.37
25 	5  33  37.8     40  28  30.2 	5.86 	1.90 	0.66 	0.54 	10.03 	5.2 	12.7 	0.37
26 	5  34  42.4     40  15  38.0 	5.49 	2.07 	0.81 	0.50 	9.78 	4.8 	12.4 	0.34
27 	5  51 05.5     17  22  17.1 	5.70 	1.85 	0.64 	0.37 	9.63 	5.0 	12.6 	-0.43
28 	5  56  38.5     14  57  29.0 	5.63 	1.89 	0.68 	0.35 	9.58 	5.0 	12.6 	-0.43
29 	5  56  46.3     16  32  31.2 	5.97 	1.87 	0.66 	0.48 	10.03 	5.5 	13.1 	-0.40
30 	5  56  48.4     30  50 09.0 	5.57 	2.14 	0.80 	0.53 	9.96 	5.1 	12.7 	0.27
31 	5  57  14.8     32  22  39.1 	5.96 	1.77 	0.66 	0.48 	9.93 	5.2 	12.9 	0.36
32 	6 00  52.2     30  45  25.4 	5.17 	1.98 	0.72 	0.62 	9.49 	3.8 	11.4 	0.25
33 	6 01  43.7     29  27  16.7 	3.95 	1.85 	0.75 	0.48 	8.00 	2.1 	9.8 	0.12
34 	6 02  45.9     29  38  44.6 	4.73 	1.67 	0.60 	0.49 	8.61 	2.8 	10.4 	0.18
35 	6 06 05.8     11  57  37.4 	4.97 	2.07 	0.74 	0.44 	9.19 	3.9 	11.4 	-0.30
36 	6  10  51.5    09  22  35.0 	5.55 	1.98 	0.72 	0.41 	9.65 	4.9 	12.3 	-0.39
37 	6  12  17.5    09  21 01.9 	5.48 	2.05 	0.78 	0.45 	9.70 	4.8 	12.3 	-0.36
38 	6  14  53.9    08  39  58.7 	6.36 	1.81 	0.63 	0.43 	10.32 	6.6 	13.9 	-0.46
39 	6  15  27.0    07 05  56.1 	4.97 	1.84 	0.65 	0.55 	9.08 	3.3 	10.8 	-0.27
40 	6  16 06.4    06  46  37.1 	5.36 	2.02 	0.74 	0.40 	9.49 	4.6 	12.0 	-0.38
41 	6  16  21.7    09  53  54.3 	3.79 	2.05 	0.84 	0.55 	8.10 	2.1 	9.6 	-0.12
42 	6  17  37.3    09  37  35.1 	6.15 	2.04 	0.75 	0.46 	10.36 	6.5 	13.9 	-0.34
43 	6  18  57.2    08  12 03.0 	5.30 	1.91 	0.79 	0.48 	9.41 	4.1 	11.6 	-0.25
44 	6  19  37.2    06  48  38.5 	4.24 	2.13 	0.80 	0.43 	8.52 	2.9 	10.3 	-0.20
45 	6  19  50.4    05  19  34.5 	5.02 	1.84 	0.63 	0.40 	8.98 	3.6 	11.0 	-0.29
46 	6  20  17.2     25 04  34.2 	6.36 	2.03 	0.72 	0.60 	10.71 	6.8 	14.4 	0.57
47 	6  20  39.8    05  52  58.4 	5.47 	1.87 	0.66 	0.53 	9.60 	4.3 	11.7 	-0.31
48 	6  21  53.9    06  26  27.1 	6.67 	1.90 	0.64 	0.46 	10.75 	7.8 	15.1 	-0.49
49 	6  23  53.4    06  27  41.9 	7.07 	1.92 	0.69 	0.59 	11.30 	9.0 	16.2 	-0.49
50 	6  29  35.2    03  49  48.6 	5.88 	1.78 	0.56 	0.49 	9.87 	5.0 	12.3 	-0.27
51 	6  33  54.1     15  55 07.6 	5.53 	1.85 	0.64 	0.59 	9.69 	4.3 	11.8 	0.25
52 	6  34  46.4     17  46  37.2 	5.00 	1.95 	0.73 	0.54 	9.21 	3.6 	11.1 	0.28
53 	6  37  29.9     14  42  13.6 	2.96 	2.00 	0.74 	0.44 	7.11 	1.5 	9.0 	0.09
54 	6  52  59.6    09  16  37.5 	7.84 	1.92 	0.75 	0.24 	11.71 	14.7 	21.9 	1.17
55 	6  53  21.3    05  41  36.1 	6.03 	1.88 	0.67 	0.38 	10.01 	5.9 	13.1 	0.31
56 	6  53  32.7    07  10  32.7 	5.39 	1.55 	0.52 	0.27 	8.92 	4.0 	11.3 	0.26
57 	6  53  56.9    09  21  10.6 	6.27 	1.83 	0.62 	0.27 	10.07 	6.8 	14.0 	0.57
58 	6  54 00.1    09 00 06.9 	5.64 	1.64 	0.55 	0.22 	9.21 	4.8 	12.1 	0.39
59 	6  57 04.0    06  19 00.6 	3.72 	1.77 	0.63 	0.28 	7.48 	2.0 	9.5 	0.15
60 	6  57 07.9    05  28  51.8 	5.08 	1.78 	0.60 	0.39 	8.97 	3.6 	10.9 	0.24
61 	7 00  29.1    05  11  49.5 	4.50 	1.72 	0.63 	0.29 	8.22 	2.8 	10.2 	0.22
62 	7 07  12.7    01  52  38.0 	5.80 	1.57 	0.53 	0.26 	9.34 	4.9 	12.0 	0.37
63 	7  11  38.9    00 09  44.7 	4.03 	1.87 	0.55 	0.28 	7.88 	2.4 	9.7 	0.20
64 	19  28  40.4     27  51  17.1 	7.30 	2.07 	0.82 	0.50 	11.57 	11.0 	10.0 	0.95
65 	19  32  20.6     27  46  21.1 	8.36 	1.74 	0.60 	0.62 	12.45 	14.8 	13.1 	1.07
66 	19  32  41.0     28  6 01.1 	8.16 	1.83 	0.61 	0.48 	12.19 	14.8 	13.1 	1.10
67 	19  33  55.3     12  40  40.5 	7.92 	1.78 	0.61 	0.58 	12.00 	12.4 	9.4 	-0.75
68 	19  35  18.4     28  51  10.6 	7.97 	1.76 	0.61 	0.43 	11.87 	13.4 	12.1 	0.96
69 	19  35  55.1     30  30 00.7 	7.80 	1.98 	0.71 	0.51 	12.01 	13.3 	12.2 	1.11
70 	19  37  15.6     31 05  13.4 	7.50 	1.93 	0.81 	0.37 	11.51 	12.0 	11.2 	1.01
71 	19  38 05.3     29  10  57.7 	7.47 	1.90 	0.71 	0.59 	11.68 	10.7 	10.0 	0.70
72 	19  38  41.2     29  45  15.6 	6.98 	2.05 	0.77 	0.46 	11.21 	9.6 	9.3 	0.65
73 	19  41  57.2     15  25  13.3 	7.91 	1.71 	0.60 	0.56 	11.90 	12.1 	9.6 	-0.80
74 	19  42  38.9     14  11  36.4 	8.06 	1.66 	0.70 	0.43 	11.86 	13.4 	10.5 	-1.06
75 	19  43  13.5     31  49 05.0 	7.80 	2.03 	0.76 	0.57 	12.12 	13.3 	12.5 	0.94
76 	19  43  21.1     31  50  40.4 	7.70 	1.81 	0.61 	0.56 	11.79 	11.6 	11.1 	0.82
77 	19  44  45.5     17  42  54.9 	8.60 	2.27 	0.94 	0.62 	13.21 	21.0 	17.7 	-1.19
78 	19  45  33.2     33  31 08.8 	7.83 	1.81 	0.61 	0.39 	11.74 	13.1 	12.5 	1.02
79 	19  47  17.5     33  30 04.8 	8.20 	1.90 	0.66 	0.50 	12.31 	15.5 	14.6 	1.12
80 	19  48  45.6     18  52  17.4 	8.18 	1.75 	0.59 	0.56 	12.21 	14.0 	11.6 	-0.85
81 	19  54 05.4     20  41  26.3 	7.87 	2.29 	0.86 	0.59 	12.47 	15.3 	13.0 	-0.97
82 	19  56 06.5     36 06  32.8 	7.44 	1.92 	0.64 	0.58 	11.66 	10.6 	11.0 	0.73
83 	19  58 06.4     36  59  10.3 	8.46 	1.68 	0.66 	0.51 	12.36 	15.7 	15.3 	1.11
84 	19  58  32.2     36  49  40.6 	7.76 	1.76 	0.75 	0.54 	11.78 	11.7 	11.9 	0.79
85 	20  6  43.4     40  20  24.2 	6.93 	2.01 	0.68 	0.58 	11.24 	8.7 	10.2 	0.67
86 	20  19  23.7     41  44  22.0 	8.63 	2.23 	0.67 	0.61 	13.18 	21.0 	20.9 	1.15
87 	20  19  24.4     41  43  56.3 	6.57 	2.04 	0.60 	0.60 	10.93 	7.5 	9.6 	0.41
88 	20  48  11.2     36  9  17.3 	7.10 	1.81 	0.64 	0.35 	10.96 	9.5 	10.9 	-0.77
89 	20  52  27.5     36  54  35.8 	6.88 	1.82 	0.66 	0.41 	10.82 	8.4 	10.2 	-0.71
90 	21  30  35.9     44  38  10.1 	6.10 	1.65 	0.55 	0.42 	9.89 	5.4 	9.3 	-0.46
91 	21  41  11.6     46  31 04.3 	6.03 	2.10 	0.84 	0.56 	10.41 	6.1 	10.0 	-0.50
92 	21  52 09.8     47  49  13.0 	6.25 	1.81 	0.62 	0.39 	10.17 	6.3 	10.3 	-0.54
93 	21  57  21.6     49  53  59.1 	5.50 	1.75 	0.55 	0.44 	9.41 	4.3 	9.2 	-0.29
94 	21  58  26.3     49  38  33.7 	5.11 	2.03 	0.68 	0.46 	9.32 	4.0 	9.0 	-0.29
95 	22 01  51.2     50  48  52.9 	8.29 	2.13 	0.86 	0.57 	12.71 	17.3 	19.8 	-1.07
96 	22 03  44.0     49  46  48.9 	5.28 	1.88 	0.66 	0.43 	9.31 	4.1 	9.1 	-0.33
97 	22 09  5.6     50  27  57.7 	6.11 	1.78 	0.61 	0.44 	10.04 	5.7 	10.2 	-0.45
98 	22 09  30.9     52  11  30.4 	5.96 	1.84 	0.59 	0.46 	9.97 	5.5 	10.1 	-0.30
99 	22  10 08.7     51  39  59.2 	5.38 	1.81 	0.61 	0.44 	9.35 	4.2 	9.3 	-0.26
100 	22  14  28.4     52  27  41.6 	5.78 	1.87 	0.68 	0.46 	9.83 	5.1 	9.9 	-0.30
101 	22  18  54.7     51  39  33.2 	6.17 	1.70 	0.62 	0.29 	9.87 	6.0 	10.5 	-0.46
102 	22  48  34.6     54  56  21.6 	5.58 	1.99 	0.67 	0.60 	9.89 	4.6 	9.9 	-0.31
103 	23  49  43.7     57  13  12.4 	6.51 	1.67 	0.67 	0.49 	10.39 	6.4 	11.8 	-0.52
